 time,mag,place
2014-02-08 02:34:23.590Z,5,"18km ENE of Iwaki, Japan"
2014-02-07 17:18:35.250Z,5.2,"34km ENE of Namie, Japan"
2014-02-06 12:10:27.730Z,4.3,"63km SSE of Ofunato, Japan"
2014-02-05 17:32:15.710Z,5.3,"68km SE of Ofunato, Japan"
2014-02-04 00:35:32.390Z,4.8,"59km NE of Namie, Japan"
2014-02-02 13:48:50.220Z,4.5,"Izu Islands, Japan region"
2014-01-31 05:38:41.550Z,4.3,"12km SSE of Kamo, Japan"
2014-01-29 14:33:17.460Z,4.8,"Izu Islands, Japan region"
2014-01-28 20:37:51.970Z,4.9,"Off the east coast of Honshu, Japan"
2014-01-27 20:25:29.920Z,4.7,"36km E of Oarai, Japan"
2014-01-26 03:40:56.720Z,4.4,"200km ESE of Iwaki, Japan"
2014-01-26 01:15:41.020Z,4.3,"Izu Islands, Japan region"
2014-01-25 21:17:59.670Z,4.2,"60km N of Ryotsu, Japan"
2014-01-25 06:06:29.590Z,4.2,"210km N of Chichi-shima, Japan"
2014-01-24 06:37:19.690Z,4.4,"51km ESE of Ishinomaki, Japan"
2014-01-24 01:43:51.030Z,4.2,"18km N of Takayama, Japan"
2014-01-23 21:43:22.060Z,4.7,"210km N of Chichi-shima, Japan"
2014-01-23 09:20:58.730Z,4.6,"48km ESE of Ohara, Japan"
2014-01-22 15:31:24.950Z,5.1,"Izu Islands, Japan region"
2014-01-22 14:47:48.430Z,4.5,"203km SW of Hachijo-jima, Japan"
2014-01-20 19:41:55.450Z,4.6,"155km SSE of Shizunai, Japan"
2014-01-20 19:07:48.160Z,4.4,"Izu Islands, Japan region"
2014-01-19 02:55:40.740Z,4,"285km WNW of Chichi-shima, Japan"
2014-01-18 11:51:47.240Z,4.7,"141km ENE of Hachijo-jima, Japan"
2014-01-18 05:31:59.790Z,4.2,"17km NE of Kashima-shi, Japan"
2014-01-18 05:08:19.620Z,4.6,"203km N of Chichi-shima, Japan"
2014-01-18 05:00:42.530Z,5.3,"201km N of Chichi-shima, Japan"
2014-01-18 02:54:20.320Z,4.3,"Izu Islands, Japan region"
2014-01-17 09:53:20.110Z,4.6,"6km ESE of Chiba-shi, Japan"
2014-01-17 09:37:35.640Z,4.7,"39km SE of Iwaki, Japan"
2014-01-17 08:14:11.370Z,4.1,"150km ESE of Namie, Japan"
2014-01-17 06:34:18.680Z,4.5,"Izu Islands, Japan region"
2014-01-16 21:39:02.200Z,4.5,"194km E of Hachinohe, Japan"
2014-01-16 01:12:17.850Z,5.1,"89km NE of Miyako, Japan"
2014-01-15 23:11:36.870Z,4.6,"27km W of Shizunai, Japan"
2014-01-14 15:41:46.090Z,4.9,"Izu Islands, Japan region"
2014-01-12 23:29:32.490Z,4.4,"20km NE of Daigo, Japan"
2014-01-12 10:04:38.030Z,4.1,"171km SSE of Zarubino, Russia"
2014-01-11 03:56:48.390Z,4.9,"132km NW of Iwanai, Japan"
2014-01-09 04:31:54.690Z,5,"34km SE of Shizunai, Japan"
2014-01-08 18:57:36.490Z,4.7,"14km ESE of Daigo, Japan"
2014-01-07 13:11:46.650Z,4.5,"10km NE of Ohara, Japan"
2014-01-06 16:56:30.450Z,4.4,"190km E of Namie, Japan"
2014-01-06 15:57:35.240Z,4.7,"58km E of Namie, Japan"
2014-01-06 11:32:31.760Z,4.2,"125km ESE of Hachijo-jima, Japan"
2014-01-06 08:18:00.180Z,4.7,"10km W of Tomioka, Japan"
2014-01-05 14:28:08.260Z,4.6,"46km NW of Hachijo-jima, Japan"
2014-01-05 01:00:29.030Z,4.3,"219km ESE of Namie, Japan"
2014-01-04 22:59:48.710Z,4.4,"89km ESE of Hachijo-jima, Japan"
2014-01-04 19:15:25.960Z,4.5,"130km N of Chichi-shima, Japan"
2014-01-04 18:12:20.390Z,4.7,"158km ENE of Hachijo-jima, Japan"
2014-01-04 17:34:29.320Z,4.4,"103km SE of Hasaki, Japan"
2014-01-04 05:23:00.310Z,5.5,"218km ESE of Namie, Japan"
2014-01-03 01:50:24.220Z,4.2,"3km SSW of Mitsukaido, Japan"
2014-01-02 17:03:52.660Z,4,"33km W of Shimoda, Japan"
2014-01-02 13:11:05.330Z,4.8,"11km E of Ohara, Japan"
2014-01-02 07:48:30.480Z,4.7,"2km SW of Ohara, Japan"
2014-01-01 14:39:26.410Z,4.9,"21km ESE of Takahagi, Japan"
2014-01-01 07:04:04.460Z,4.8,"258km W of Kamiiso, Japan"
2014-01-01 04:18:10.770Z,4.1,"30km W of Hachijo-jima, Japan"
2013-12-31 07:52:32.760Z,4.3,"Izu Islands, Japan region"
2013-12-31 01:02:59.460Z,5.1,"4km S of Takahagi, Japan"
2013-12-30 09:44:16.670Z,4.7,"74km NE of Hasaki, Japan"
2013-12-30 06:15:06.530Z,4.1,"6km S of Sumoto, Japan"
2013-12-29 05:30:14.360Z,4.2,"112km E of Namie, Japan"
2013-12-29 01:22:16.940Z,4.5,"45km ESE of Ishinomaki, Japan"
2013-12-29 01:17:56.310Z,4.6,"101km NW of Hachijo-jima, Japan"
2013-12-28 12:27:05.120Z,4.3,"78km ESE of Namie, Japan"
2013-12-27 10:31:20.930Z,5,"67km ESE of Hachinohe, Japan"
2013-12-27 06:42:29.480Z,4.6,"83km NW of Chichi-shima, Japan"
2013-12-27 01:32:35.110Z,4.2,"3km NE of Mitsukaido, Japan"
2013-12-25 21:47:41.310Z,4.2,"58km SW of Nemuro, Japan"
2013-12-25 18:43:24.190Z,4.6,"73km ESE of Mutsu, Japan"
2013-12-25 02:56:26.430Z,4.6,"94km ESE of Hasaki, Japan"
2013-12-24 22:41:57.610Z,4.6,"48km ESE of Iwaki, Japan"
2013-12-24 17:12:45.020Z,4.7,"112km WSW of Iwanai, Japan"
2013-12-24 14:29:03.420Z,4.6,"174km WNW of Chichi-shima, Japan"
2013-12-24 14:26:14.230Z,4.4,"275km WNW of Chichi-shima, Japan"
2013-12-23 16:48:41.310Z,4.8,"147km NNW of Chichi-shima, Japan"
2013-12-23 09:25:12.290Z,5.1,"135km E of Hasaki, Japan"
2013-12-23 09:11:31.400Z,5.3,"148km ENE of Hasaki, Japan"
2013-12-23 06:57:29.110Z,5.6,"118km E of Hasaki, Japan"
2013-12-21 16:51:36.630Z,4.7,"233km ESE of Ishinomaki, Japan"
2013-12-21 14:32:15.250Z,4.6,"227km SE of Kamaishi, Japan"
2013-12-21 13:54:14.440Z,4.4,"135km ESE of Ishinomaki, Japan"
2013-12-21 07:19:08.820Z,4.4,"5km NW of Shiraoi, Japan"
2013-12-21 01:34:13.610Z,5.5,"12km S of Asahi, Japan"
2013-12-20 16:10:46.900Z,5.3,"3km SSW of Toride, Japan"
2013-12-20 13:29:41.220Z,4.5,"187km SE of Kamenka, Russia"
2013-12-20 06:00:31.090Z,4.5,"170km SE of Hachijo-jima, Japan"
2013-12-19 04:25:56.810Z,4.7,"137km E of Yamada, Japan"
2013-12-18 12:54:38.340Z,5.2,"Izu Islands, Japan region"
2013-12-18 10:14:08.930Z,4.7,"74km SE of Ofunato, Japan"
2013-12-15 21:20:41.620Z,4.3,"111km SSE of Tateyama, Japan"
2013-12-15 20:55:48.880Z,4.5,"215km E of Yamada, Japan"
2013-12-15 19:34:09.160Z,4.3,"9km NW of Hitachi, Japan"
2013-12-15 17:17:42.190Z,4.8,"47km ENE of Kushiro, Japan"
2013-12-15 15:54:12.810Z,4.9,"7km W of Naka, Japan"
2013-12-15 15:35:15.130Z,4.7,"113km ESE of Kitaibaraki, Japan"
2013-12-15 11:43:29.540Z,4.5,"118km SSE of Shizunai, Japan"
2013-12-15 09:21:36.680Z,4.3,"31km SE of Ofunato, Japan"
2013-12-14 15:13:53.470Z,4.5,"2km ENE of Tenri, Japan"
2013-12-14 04:06:15.330Z,5.5,"6km S of Asahi, Japan"
2013-12-13 04:24:55.990Z,4.4,"60km NE of Misawa, Japan"
2013-12-12 02:24:57.730Z,4.7,"27km SSE of Kushima, Japan"
2013-12-11 07:36:48.060Z,4.7,"18km NW of Nishinoomote, Japan"
2013-12-11 03:00:17.290Z,4.5,"33km ESE of Iwaki, Japan"
2013-12-11 02:41:35.180Z,4,"Izu Islands, Japan region"
2013-12-09 20:36:49.720Z,5.1,"112km ESE of Kitaibaraki, Japan"
2013-12-09 17:07:52.360Z,4.3,"98km SW of Hachijo-jima, Japan"
2013-12-09 16:29:53.170Z,4.1,"Izu Islands, Japan region"
2013-12-09 07:13:59.840Z,4,"279km WNW of Chichi-shima, Japan"
2013-12-09 04:20:21.640Z,4.3,"1km NNW of Ryugasaki, Japan"
2013-12-08 17:47:53.890Z,4.4,"81km E of Namie, Japan"
2013-12-08 15:38:51.570Z,4.2,"113km ESE of Terney, Russia"
2013-12-08 02:12:20.740Z,4.1,"41km E of Oarai, Japan"
2013-12-07 16:34:12.570Z,4.3,"Izu Islands, Japan region"
2013-12-07 13:14:57.280Z,4.4,"36km ESE of Miyako, Japan"
2013-12-07 10:16:33.800Z,4.3,"Izu Islands, Japan region"
2013-12-06 05:50:34.890Z,4,"70km SSE of Toba, Japan"
2013-12-05 22:58:35.370Z,4.1,"71km E of Iwaki, Japan"
2013-12-05 19:38:54.230Z,4.4,"54km SSE of Hachijo-jima, Japan"
2013-12-05 09:43:44.080Z,4.3,"202km SE of Kamaishi, Japan"
2013-12-04 21:10:11.430Z,4.5,"86km ENE of Hasaki, Japan"
2013-12-04 18:43:28.520Z,4.7,"43km SE of Namie, Japan"
2013-12-04 02:06:52.940Z,4.3,"221km SE of Hachijo-jima, Japan"
2013-12-03 19:55:52.010Z,4.7,"53km ENE of Ishinomaki, Japan"
2013-12-03 09:16:43.550Z,5.1,"91km ESE of Kitaibaraki, Japan"
2013-12-03 06:58:16.000Z,4.6,"5km E of Hasaki, Japan"
2013-12-02 22:18:42.030Z,4.3,"246km ESE of Ishinomaki, Japan"
2013-12-02 21:26:39.570Z,4.7,"4km S of Okunoya, Japan"
2013-12-02 19:21:36.700Z,4.5,"101km E of Namie, Japan"
2013-12-02 14:33:51.310Z,4.8,"91km E of Ishinomaki, Japan"
2013-11-30 10:04:19.190Z,4.4,"11km SW of Kaseda, Japan"
2013-11-30 05:40:08.320Z,4.3,"49km ESE of Ishinomaki, Japan"
2013-11-29 03:41:29.260Z,4.1,"43km SE of Shizunai, Japan"
2013-11-28 16:15:06.080Z,5,"10km S of Funabashi, Japan"
2013-11-27 17:45:50.950Z,5,"59km SE of Muroran, Japan"
2013-11-27 00:06:59.200Z,4.4,"44km ESE of Ofunato, Japan"
2013-11-26 15:37:32.500Z,4.4,"Bonin Islands, Japan region"
2013-11-26 14:19:07.900Z,4.8,"242km NNW of Chichi-shima, Japan"
2013-11-25 16:38:49.480Z,4.7,"74km S of Nishinoomote, Japan"
2013-11-25 15:43:02.470Z,5,"56km E of Ishinomaki, Japan"
2013-11-25 11:05:54.190Z,4.4,"246km SE of Hachijo-jima, Japan"
2013-11-24 23:57:03.550Z,4.4,"150km ENE of Hachinohe, Japan"
2013-11-24 10:21:57.530Z,4.3,"292km NNW of Chichi-shima, Japan"
2013-11-24 10:17:40.590Z,4.5,"203km ESE of Hachijo-jima, Japan"
2013-11-24 07:04:21.740Z,4.2,"298km ESE of Kamaishi, Japan"
2013-11-23 18:42:10.560Z,4.7,"59km SW of Kushiro, Japan"
2013-11-23 16:26:41.670Z,4.6,"24km ESE of Shizunai, Japan"
2013-11-23 06:59:45.030Z,4.1,"Izu Islands, Japan region"
2013-11-22 23:27:34.400Z,4.3,"69km ENE of Hasaki, Japan"
2013-11-22 21:05:13.150Z,5.3,"234km W of Kamiiso, Japan"
2013-11-22 06:18:29.420Z,4.5,"203km E of Hasaki, Japan"
2013-11-22 06:13:13.920Z,4.7,"Off the east coast of Honshu, Japan"
2013-11-21 20:08:29.300Z,4.1,"23km W of Hachijo-jima, Japan"
2013-11-21 19:57:52.970Z,4.8,"25km ENE of Namie, Japan"
2013-11-21 18:31:33.190Z,4.4,"36km WSW of Hachijo-jima, Japan"
2013-11-21 12:37:34.770Z,4.8,"123km ESE of Hachijo-jima, Japan"
2013-11-21 08:59:24.780Z,4.5,"25km ESE of Miyako, Japan"
2013-11-21 03:37:57.460Z,4.9,"90km E of Namie, Japan"
2013-11-20 21:23:18.390Z,4.5,"3km E of Yokote, Japan"
2013-11-20 13:54:22.370Z,4.4,"182km WNW of Kizukuri, Japan"
2013-11-20 01:57:56.600Z,4.2,"9km NNE of Himeji, Japan"
2013-11-19 21:09:40.220Z,4.2,"276km NNW of Chichi-shima, Japan"
2013-11-19 18:32:51.550Z,4.3,"15km SE of Toba, Japan"
2013-11-19 05:10:23.850Z,4.4,"8km ESE of Hitachi, Japan"
2013-11-18 19:10:45.430Z,5.6,"24km SE of Toba, Japan"
2013-11-18 18:22:01.860Z,4.3,"35km SSW of Ibusuki, Japan"
2013-11-16 17:00:02.440Z,4.7,"3km W of Togane, Japan"
2013-11-16 15:45:57.690Z,4.4,"9km W of Oami, Japan"
2013-11-16 11:56:42.370Z,4.4,"4km NNW of Togane, Japan"
2013-11-16 11:44:41.340Z,5.5,"2km E of Chiba-shi, Japan"
2013-11-16 08:14:53.440Z,4.8,"69km ENE of Namie, Japan"
2013-11-16 06:05:22.850Z,4.8,"161km ESE of Namie, Japan"
2013-11-16 05:54:36.950Z,5,"18km ENE of Kamaishi, Japan"
2013-11-16 05:42:19.140Z,4.8,"203km ESE of Kamaishi, Japan"
2013-11-15 10:34:07.090Z,4.4,"174km WNW of Chichi-shima, Japan"
2013-11-15 02:00:33.990Z,5.5,"81km ENE of Mutsu, Japan"
2013-11-14 14:23:40.930Z,4.5,"152km SSE of Nishinoomote, Japan"
2013-11-14 12:39:07.810Z,4.8,"106km ENE of Miyako, Japan"
2013-11-14 11:47:31.480Z,4.5,"275km ESE of Kamaishi, Japan"
2013-11-14 09:09:28.840Z,4.3,"118km E of Iwaki, Japan"
2013-11-13 22:09:03.400Z,4.4,"85km E of Ishinomaki, Japan"
2013-11-13 20:16:10.850Z,4.3,"Off the east coast of Honshu, Japan"
2013-11-13 10:11:02.160Z,4.2,"7km NNW of Yokaichiba, Japan"
2013-11-12 16:23:36.520Z,4.6,"230km SE of Ofunato, Japan"
2013-11-12 11:36:04.580Z,4.7,"107km W of Kamiiso, Japan"
2013-11-12 05:05:47.260Z,4.4,"7km SSE of Ami, Japan"
2013-11-11 20:54:27.580Z,4.9,"54km SE of Ofunato, Japan"
2013-11-11 18:28:12.860Z,4.3,"19km ENE of Daigo, Japan"
