"magnitude","deph","region","datetime","latitude","longitude"
"1.4","10.00","Arkansas","Thursday, May 13, 2010 06:02:30 UTC","35.6621","-90.3457"
"2.5","13.20","Arkansas","Monday, May 10, 2010 10:29:52 UTC","35.8711","-89.9890"
"1.9","5.20","Nevada","Thursday, May 13, 2010 10:12:13 UTC","37.8440","-118.2240"
"1.4","8.90","Nevada","Wednesday, May 12, 2010 02:31:36 UTC","39.4110","-119.9180"
"2.1","9.40","Nevada","Tuesday, May 11, 2010 01:28:19 UTC","38.7610","-119.5920"
"1.5","13.00","Nevada","Monday, May 10, 2010 13:43:22 UTC","40.2330","-119.7050"
"1.1","2.00","Nevada","Monday, May 10, 2010 03:05:02 UTC","36.9280","-116.7090"
"2.4","0.00","Nevada","Sunday, May  9, 2010 09:03:26 UTC","38.5940","-118.8868"
"1.1","0.00","Nevada","Saturday, May  8, 2010 23:51:52 UTC","36.7340","-114.9830"
"1.6","8.60","Nevada","Saturday, May  8, 2010 08:53:28 UTC","40.2210","-119.6620"
"1.4","0.00","Nevada","Saturday, May  8, 2010 06:39:13 UTC","37.9070","-117.9940"
"1.2","11.50","Nevada","Friday, May  7, 2010 22:32:30 UTC","37.2280","-117.3320"
"1.5","7.80","Nevada","Friday, May  7, 2010 14:19:05 UTC","38.7669","-119.5980"
"2.0","11.70","Nevada","Friday, May  7, 2010 08:14:36 UTC","40.2300","-119.6960"
"2.2","12.80","Nevada","Friday, May  7, 2010 08:09:47 UTC","40.2389","-119.6930"
"1.4","9.10","Nevada","Friday, May  7, 2010 06:09:14 UTC","37.1699","-117.3900"
"2.0","5.00","Oklahoma","Thursday, May 13, 2010 17:27:39 UTC","35.4909","-97.2229"
"2.5","4.90","Oklahoma","Sunday, May  9, 2010 01:11:26 UTC","35.5250","-97.2942"
"3.1","5.00","Oklahoma","Friday, May  7, 2010 12:44:56 UTC","35.5309","-97.2344"
"1.4","14.80","Oregon","Monday, May 10, 2010 12:08:12 UTC","45.0261","-122.5716"
"1.5","8.00","Oregon","Sunday, May  9, 2010 00:49:48 UTC","43.7041","-122.7181"
"2.5","13.00","Puerto Rico","Wednesday, May 12, 2010 05:39:19 UTC","18.1949","-66.3560"
"1.1","21.00","Puerto Rico","Tuesday, May 11, 2010 12:39:25 UTC","18.1509","-66.6100"
"1.5","13.90","Puerto Rico","Saturday, May  8, 2010 21:27:59 UTC","17.9769","-66.5709"
"2.8","1.30","South Carolina","Wednesday, May 12, 2010 09:03:36 UTC","32.9293","-80.1342"
"1.6","3.20","Utah","Wednesday, May 12, 2010 19:48:22 UTC","39.4313","-111.2050"
"1.4","6.20","Utah","Wednesday, May 12, 2010 13:29:12 UTC","39.4317","-111.2118"
"1.8","3.90","Utah","Wednesday, May 12, 2010 11:00:05 UTC","39.4350","-111.2053"
"1.6","7.40","Utah","Wednesday, May 12, 2010 05:01:38 UTC","39.4288","-111.2105"
"1.7","3.50","Utah","Tuesday, May 11, 2010 22:40:40 UTC","39.4362","-111.1998"
"1.7","3.00","Utah","Tuesday, May 11, 2010 21:53:01 UTC","39.4357","-111.2135"
"1.7","2.50","Utah","Tuesday, May 11, 2010 04:18:50 UTC","39.4378","-111.2040"
"1.6","5.70","Utah","Saturday, May  8, 2010 11:30:11 UTC","39.4333","-111.2287"
"1.5","10.60","Utah","Friday, May  7, 2010 21:16:01 UTC","39.4270","-111.2352"
"1.5","3.00","Utah","Friday, May  7, 2010 08:25:03 UTC","39.4333","-111.1968"
"1.3","7.20","Utah","Friday, May  7, 2010 05:12:26 UTC","39.4360","-111.2118"
"2.5","14.50","Washington","Thursday, May 13, 2010 13:33:45 UTC","46.0818","-122.5213"
"1.5","5.50","Washington","Thursday, May 13, 2010 04:28:26 UTC","47.6666","-120.3953"
